state_name,state_code,county_name,county_code,year,value
NEBRASKA,31,ADAMS,1,2022,33783000
MISSISSIPPI,28,TALLAHATCHIE,135,2022,6719000
INDIANA,18,CASS,17,2022,17759000
OHIO,39,UNION,159,2022,9188000
LOUISIANA,22,AVOYELLES,9,2022,2758000
MISSOURI,29,LIVINGSTON,117,2022,7466000
TEXAS,48,VICTORIA,469,2022,2519000
INDIANA,18,GIBSON,51,2022,17847000
TEXAS,48,LIMESTONE,293,2022,1363000
INDIANA,18,PIKE,125,2022,4768000
WISCONSIN,55,RACINE,101,2022,5788000
ILLINOIS,17,CASS,17,2022,16698000
NEBRASKA,31,JEFFERSON,95,2022,18128000
NORTH CAROLINA,37,PERQUIMANS,143,2022,1949000
IOWA,19,CERRO GORDO,33,2022,34834000
SOUTH DAKOTA,46,HAAKON,55,2022,1316000
KANSAS,20,PRATT,151,2022,8462000
NEBRASKA,31,THAYER,169,2022,28026000
MISSOURI,29,HENRY,83,2022,3384000
IOWA,19,DELAWARE,55,2022,37343000
LOUISIANA,22,SAINT LANDRY,97,2022,1413000
ILLINOIS,17,WILLIAMSON,199,2022,3241000
NORTH CAROLINA,37,SAMPSON,163,2022,3550000
SOUTH CAROLINA,45,CLARENDON,27,2022,4955000
TENNESSEE,47,GIBSON,53,2022,7214000
MINNESOTA,27,GOODHUE,49,2022,30540000
IOWA,19,POTTAWATTAMIE,155,2022,45435000
