state_name,state_code,county_name,county_code,year,value
WISCONSIN,55,EAU CLAIRE,35,2020,5796000
OHIO,39,FULTON,51,2020,13497000
KANSAS,20,WASHINGTON,201,2020,17300000
IOWA,19,GREENE,73,2021,34530000
MISSOURI,29,RANDOLPH,175,2020,3780000
OHIO,39,BUTLER,17,2020,4147000
KENTUCKY,21,FULTON,75,2021,5496000
WISCONSIN,55,MARATHON,73,2020,11654000
KANSAS,20,EDWARDS,47,2020,13364000
KANSAS,20,CHEROKEE,21,2020,3301000
NEBRASKA,31,CEDAR,27,2020,34187000
KENTUCKY,21,CRITTENDEN,55,2020,4079000
IOWA,19,MONONA,133,2021,33411000
MISSISSIPPI,28,CARROLL,15,2020,1420000
ILLINOIS,17,EDWARDS,47,2020,7331000
IOWA,19,HENRY,87,2020,13450000
IOWA,19,IOWA,95,2020,18102000
IOWA,19,LUCAS,117,2021,5315000
TEXAS,48,BELL,27,2021,7702000
INDIANA,18,GRANT,53,2020,13240000
OHIO,39,RICHLAND,139,2020,5517000
KANSAS,20,CRAWFORD,37,2021,5478000
MISSOURI,29,CARROLL,33,2020,14300000
GEORGIA,13,CALHOUN,37,2020,2244000
MICHIGAN,26,MIDLAND,111,2021,3895000
INDIANA,18,WARRICK,173,2020,5838000
ARKANSAS,5,POINSETT,111,2020,5176000
ALABAMA,1,LAWRENCE,79,2021,6222000
COLORADO,8,MORGAN,87,2020,6896000
KENTUCKY,21,HANCOCK,91,2021,1741000
TEXAS,48,BURLESON,51,2021,1288000
OHIO,39,HURON,77,2021,10659000
PENNSYLVANIA,42,YORK,133,2021,15654000
SOUTH CAROLINA,45,MARLBORO,69,2022,1818000
IOWA,19,MARSHALL,127,2022,30017000
IOWA,19,BOONE,15,2022,30603000
IOWA,19,DAVIS,51,2020,6409000
SOUTH DAKOTA,46,BROOKINGS,11,2021,22420000
SOUTH DAKOTA,46,LINCOLN,83,2021,21595000
NORTH CAROLINA,37,PAMLICO,137,2020,1917000
NEW YORK,36,SENECA,99,2021,4005000
MINNESOTA,27,PINE,115,2020,2138000
INDIANA,18,GIBSON,51,2020,19329000
MICHIGAN,26,LAPEER,87,2021,5970000
PENNSYLVANIA,42,YORK,133,2020,14922000
WISCONSIN,55,BROWN,9,2021,4817000
MINNESOTA,27,CHISAGO,25,2021,3787000
MISSOURI,29,CALDWELL,25,2020,4169000
WISCONSIN,55,PEPIN,91,2020,3738000
IOWA,19,JACKSON,97,2020,21047000
KENTUCKY,21,PULASKI,199,2020,1510000
MINNESOTA,27,BENTON,9,2020,8174000
SOUTH DAKOTA,46,WALWORTH,129,2021,7105000
ARKANSAS,5,MONROE,95,2020,3496000
IOWA,19,HARDIN,83,2020,28135000
NORTH DAKOTA,38,DICKEY,21,2021,22767000
DELAWARE,10,NEW CASTLE,3,2020,2871000
MINNESOTA,27,HUBBARD,57,2020,1208000
IOWA,19,RINGGOLD,159,2020,8225000
NORTH DAKOTA,38,DICKEY,21,2020,13638000
IDAHO,16,OWYHEE,73,2020,3809000
INDIANA,18,MARSHALL,99,2021,16955000
NORTH CAROLINA,37,STANLY,167,2020,1482000
KANSAS,20,LANE,101,2020,4685000
KENTUCKY,21,WARREN,227,2020,6806000
INDIANA,18,SHELBY,145,2020,17152000
KENTUCKY,21,BALLARD,7,2021,6263000
NORTH DAKOTA,38,EDDY,27,2021,3011000
IOWA,19,OSCEOLA,143,2021,23691000
IOWA,19,CLAYTON,43,2021,25077000
IOWA,19,HANCOCK,81,2020,39000000
KANSAS,20,MONTGOMERY,125,2021,2865000
NORTH CAROLINA,37,BERTIE,15,2020,1829000
MISSISSIPPI,28,MADISON,89,2020,1850000
SOUTH DAKOTA,46,TRIPP,123,2021,4716000
GEORGIA,13,BURKE,33,2021,4445000
NEBRASKA,31,HOLT,89,2020,33842000
TENNESSEE,47,MONROE,123,2021,1117000
KANSAS,20,HASKELL,81,2020,18208000
MISSOURI,29,MARION,127,2020,8839000
SOUTH DAKOTA,46,KINGSBURY,77,2020,22075000
MISSOURI,29,HARRISON,81,2021,8855000
IOWA,19,FAYETTE,65,2021,36268000
KANSAS,20,MITCHELL,123,2020,4148000
NORTH DAKOTA,38,SHERIDAN,83,2020,1256000
KANSAS,20,ANDERSON,3,2020,5106000
SOUTH CAROLINA,45,LEE,61,2021,4970000
TEXAS,48,MATAGORDA,321,2021,4046000
MICHIGAN,26,MONTCALM,117,2021,9351000
MISSOURI,29,HOWARD,89,2021,5065000
ILLINOIS,17,KANKAKEE,91,2021,33100000
ILLINOIS,17,WOODFORD,203,2020,24227000
DELAWARE,10,SUSSEX,5,2021,18065000
OHIO,39,GREENE,57,2020,10653000
KANSAS,20,KINGMAN,95,2020,1663000
MISSOURI,29,OSAGE,151,2021,1277000
MISSOURI,29,PIKE,163,2020,10060000
SOUTH DAKOTA,46,DAY,37,2020,10594000
SOUTH CAROLINA,45,DORCHESTER,35,2021,1069000
TENNESSEE,47,COFFEE,31,2021,3971000
ILLINOIS,17,JEFFERSON,81,2021,8822000
MISSOURI,29,AUDRAIN,7,2020,18955000
KANSAS,20,SHERMAN,181,2020,22008000
NORTH CAROLINA,37,EDGECOMBE,65,2020,1318000
NEW YORK,36,WYOMING,121,2020,3497000
NORTH CAROLINA,37,WAYNE,191,2020,2682000
OHIO,39,WILLIAMS,171,2021,10233000
PENNSYLVANIA,42,HUNTINGDON,61,2021,2124000
OHIO,39,PICKAWAY,129,2020,15175000
INDIANA,18,MORGAN,109,2020,6542000
GEORGIA,13,MILLER,201,2020,3293000
VIRGINIA,51,SURRY,181,2021,1551000
ILLINOIS,17,FORD,53,2021,26527000
MISSOURI,29,ST CHARLES,183,2020,6590000
LOUISIANA,22,CADDO,17,2020,1813000
NORTH CAROLINA,37,WASHINGTON,187,2021,4960000
TENNESSEE,47,MONTGOMERY,125,2021,3109000
NEBRASKA,31,WASHINGTON,177,2021,16188000
INDIANA,18,WABASH,169,2020,12856000
PENNSYLVANIA,42,LAWRENCE,73,2020,2341000
MICHIGAN,26,BERRIEN,21,2021,8545000
PENNSYLVANIA,42,JEFFERSON,65,2020,1223000
IOWA,19,AUDUBON,9,2020,18634000
OHIO,39,WYANDOT,175,2021,13752000
PENNSYLVANIA,42,LEHIGH,77,2021,3073000
MINNESOTA,27,YELLOW MEDICINE,173,2020,35582000
MISSOURI,29,LEWIS,111,2020,11306000
IOWA,19,PLYMOUTH,149,2021,41903000
LOUISIANA,22,EAST CARROLL,35,2021,8897000
COLORADO,8,LOGAN,75,2020,10197000
IOWA,19,CHEROKEE,35,2020,27094000
MINNESOTA,27,RICE,131,2020,16377000
OHIO,39,HIGHLAND,71,2021,8369000
TENNESSEE,47,LINCOLN,103,2020,3641000
NEBRASKA,31,HITCHCOCK,87,2020,8295000
LOUISIANA,22,CONCORDIA,29,2021,2989000
NORTH CAROLINA,37,LENOIR,107,2021,3888000
OHIO,39,PICKAWAY,129,2021,16741000
PENNSYLVANIA,42,COLUMBIA,37,2020,2653000
MISSOURI,29,CLINTON,49,2020,7785000
MINNESOTA,27,WRIGHT,171,2020,14612000
MARYLAND,24,SOMERSET,39,2021,2242000
LOUISIANA,22,CONCORDIA,29,2020,3556000
NORTH CAROLINA,37,BRUNSWICK,19,2021,1178000
SOUTH DAKOTA,46,TURNER,125,2020,23877000
WISCONSIN,55,CLARK,19,2020,7290000
VIRGINIA,51,ISLE OF WIGHT,93,2021,2143000
MICHIGAN,26,CASS,27,2021,10638000
ILLINOIS,17,JO DAVIESS,85,2020,19986000
KENTUCKY,21,MERCER,167,2021,1224000
PENNSYLVANIA,42,CENTRE,27,2020,1879000
INDIANA,18,STEUBEN,151,2021,6970000
IOWA,19,FAYETTE,65,2020,34111000
IOWA,19,CEDAR,31,2021,30368000
IOWA,19,POCAHONTAS,151,2020,33330000
ARKANSAS,5,LINCOLN,79,2020,2920000
OHIO,39,HENRY,69,2020,13509000
KANSAS,20,GEARY,61,2021,1624000
OHIO,39,FRANKLIN,49,2020,2121000
MICHIGAN,26,JACKSON,75,2020,7311000
INDIANA,18,HOWARD,67,2020,12935000
MINNESOTA,27,SWIFT,151,2020,34100000
ALABAMA,1,LIMESTONE,83,2021,5404000
IOWA,19,LINN,113,2020,23828000
MINNESOTA,27,ROCK,133,2020,26522000
KANSAS,20,RILEY,161,2020,3712000
ILLINOIS,17,JO DAVIESS,85,2021,19030000
IOWA,19,WEBSTER,187,2021,41791000
IOWA,19,MAHASKA,123,2022,23306000
KANSAS,20,RILEY,161,2022,3601000
MISSOURI,29,STODDARD,207,2022,10749000
IOWA,19,BENTON,11,2022,40083000
PENNSYLVANIA,42,CHESTER,29,2022,4379000
KENTUCKY,21,LOGAN,141,2022,9443000
ILLINOIS,17,HENDERSON,71,2022,19972000
SOUTH CAROLINA,45,DARLINGTON,31,2022,1718000
SOUTH DAKOTA,46,MCPHERSON,89,2022,8612000
MICHIGAN,26,OTTAWA,139,2022,5263000
NEBRASKA,31,GOSPER,73,2022,12035000
NORTH CAROLINA,37,NORTHAMPTON,131,2022,1296000
ALABAMA,1,DE KALB,49,2022,1760000
SOUTH DAKOTA,46,KINGSBURY,77,2022,21002000
INDIANA,18,MARTIN,101,2022,2546000
NORTH DAKOTA,38,WALSH,99,2022,5440000
NEBRASKA,31,FRONTIER,63,2022,12166000
NORTH CAROLINA,37,GREENE,79,2022,1052000
ARKANSAS,5,JEFFERSON,69,2022,5964000
SOUTH DAKOTA,46,SPINK,115,2022,40495000
WISCONSIN,55,WAUSHARA,137,2022,5800000
